"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-WMI-TargetObject","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-TargetObject,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Operating-System-Version","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Operating-System-Version,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-TargetPath","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-TargetPath,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Operator-Count","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Operator-Count,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-TargetType","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-TargetType,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Option-Description","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Option-Description,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-UintRangeParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-UintRangeParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Options","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Options,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","FRS-Control-Inbound-Backlog","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=FRS-Control-Inbound-Backlog,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Options-Location","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Options-Location,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Claim-Attribute-Source","1/15/2016 11:23:11 AM","1/15/2016 11:23:11 AM","CN=ms-DS-Claim-Attribute-Source,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Claim-Is-Single-Valued","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-DS-Claim-Is-Single-Valued,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","FRS-Control-Outbound-Backlog","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=FRS-Control-Outbound-Backlog,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Claim-Is-Value-Space-Restricted","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-DS-Claim-Is-Value-Space-Restricted,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-Authz-Member-Rules-In-Central-Access-Policy-BL","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-Authz-Member-Rules-In-Central-Access-Policy-BL,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-Authz-Proposed-Security-Policy","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-Authz-Proposed-Security-Policy,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","FRS-Directory-Filter","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=FRS-Directory-Filter,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-Authz-Resource-Condition","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-Authz-Resource-Condition,CN=Schema,CN=Configuration,DC=LAB,DC=local"
